cellosaurus_id,CELL_LINE_NAME,DRUG_NAME,LN_IC50,CELL_LINE_TISSUE_1,CELL_LINE_TISSUE_2,DRUG_TARGET_PATHWAY
CVCL_1551,NCI-H2405,AMG-319,7.213058999999999,lung_NSCLC,lung_NSCLC_adenocarcinoma,PI3K/MTOR signaling
CVCL_1070,AM-38,Savolitinib,2.154516,nervous_system,glioma,RTK signaling
CVCL_1073,ATN-1,Cediranib,1.913023,leukemia,lymphoblastic_T_cell_leukaemia,RTK signaling
CVCL_1096,C2BBe1,Cytarabine,2.876733,large_intestine,large_intestine,Other
CVCL_0236,Calu-6,Sabutoclax,-1.596949,lung_NSCLC,lung_NSCLC_adenocarcinoma,Apoptosis regulation
CVCL_2673,OV56,Entinostat,3.4481870000000003,urogenital_system,ovary,Chromatin histone acetylation
CVCL_1094,C-33 A,WZ4003,4.595515,urogenital_system,cervix,"Other, kinases"
CVCL_0297,HEY,Vorinostat,1.931569,urogenital_system,ovary,Chromatin histone acetylation
CVCL_2315,BICR 78,Telomerase Inhibitor IX,1.215573,aero_dig_tract,head and neck,Genome integrity
CVCL_1738,TCCSUP,Dihydrorotenone,2.206299,urogenital_system,Bladder,Unclassified
CVCL_1670,RT-112,Entospletinib,3.137517,urogenital_system,Bladder,"Other, kinases"
CVCL_1279,HGC-27,Afatinib,1.7035049999999998,digestive_system,stomach,EGFR signaling
CVCL_3119,P32/ISH,Cyclophosphamide,3.581828,lymphoma,Burkitt_lymphoma,DNA replication
CVCL_0531,SK-N-SH,Cytarabine,3.783393,neuroblastoma,neuroblastoma,Other
CVCL_0186,BxPC-3,Podophyllotoxin bromide,-0.8940889999999999,pancreas,pancreas,Unclassified
CVCL_1531,NCI-H2122,IGF1R_3801,-1.565027,lung_NSCLC,lung_NSCLC_adenocarcinoma,IGF1R signaling
CVCL_0580,WM35,PLX-4720,2.181547,skin,melanoma,ERK MAPK signaling
CVCL_2207,SU-DHL-8,ML323,4.328248,lymphoma,B_cell_lymphoma,Protein stability and degradation
CVCL_1787,VMRC-LCD,Palbociclib,4.248407,lung_NSCLC,lung_NSCLC_adenocarcinoma,Cell cycle
CVCL_1982,CL-40,NVP-ADW742,3.4528449999999995,large_intestine,large_intestine,IGF1R signaling
CVCL_0237,Capan-1,Fulvestrant,4.329156889003041,pancreas,pancreas,Hormone-related
CVCL_1559,NCI-H358,KRAS (G12C) Inhibitor-12,5.535725,lung_NSCLC,lung_NSCLC_adenocarcinoma,ERK MAPK signaling
CVCL_1067,ACHN,Daporinad,-4.198195,kidney,kidney,Metabolism
CVCL_0471,OE33,PLX-4720,4.125063,aero_dig_tract,oesophagus,ERK MAPK signaling
CVCL_1509,NCI-H196,MK-1775,1.412391,lung_SCLC,lung_small_cell_carcinoma,Cell cycle
CVCL_1492,NCI-H1755,Rapamycin,-0.598743,lung_NSCLC,lung_NSCLC_adenocarcinoma,PI3K/MTOR signaling
CVCL_2588,MDST8,BPD-00008900,5.145106,large_intestine,large_intestine,Other
CVCL_0103,SUP-B15,Venetoclax,-6.368479,leukemia,lymphoblastic_leukemia,Apoptosis regulation
CVCL_0078,SNU-5,PFI3,4.720573,unknown,unknown,Chromatin other
CVCL_1093,Becker,Dactinomycin,-3.1551962074572826,nervous_system,glioma,Other
CVCL_5003,SNU-1040,OSI-027,5.029114,large_intestine,large_intestine,PI3K/MTOR signaling
CVCL_1510,NCI-H1963,LY2109761,4.345549,lung_SCLC,lung_small_cell_carcinoma,Other
CVCL_1825,KYAE-1,Staurosporine,-0.84219,aero_dig_tract,oesophagus,RTK signaling
CVCL_1069,ALL-PO,GSK1904529A,2.253091,leukemia,lymphoblastic_leukemia,IGF1R signaling
CVCL_0028,AN3-CA,Uprosertib,0.7322970956106333,urogenital_system,endometrium,PI3K/MTOR signaling
CVCL_1603,NCI-N87,JAK_8517,5.709745,digestive_system,stomach,"Other, kinases"
CVCL_1060,A-253,Palbociclib,5.158078,aero_dig_tract,head and neck,Cell cycle
CVCL_1638,Panc 08.13,5-Fluorouracil,7.386896000000001,pancreas,pancreas,Other
CVCL_1392,Lu-65,Dihydrorotenone,0.296626,lung_NSCLC,lung_NSCLC_large cell,Unclassified
CVCL_0533,SK-UT-1,Palbociclib,4.794546,soft_tissue,soft_tissue_other,Cell cycle
CVCL_2253,C-4-I,AMG-319,3.216181,urogenital_system,cervix,PI3K/MTOR signaling
CVCL_1114,CAL-85-1,Mirin,4.203632,breast,breast,Genome integrity
CVCL_1787,VMRC-LCD,VSP34_8731,3.407592,lung_NSCLC,lung_NSCLC_adenocarcinoma,Other
CVCL_1787,VMRC-LCD,Epirubicin,1.044995,lung_NSCLC,lung_NSCLC_adenocarcinoma,DNA replication
CVCL_1769,TGBC1TKB,Lapatinib,3.205503,digestive_system,biliary_tract,EGFR signaling
CVCL_1289,HSC-4,Eg5_9814,-0.5476400000000001,aero_dig_tract,head and neck,Other
CVCL_1058,A-204,Erlotinib,2.829057,soft_tissue,rhabdomyosarcoma,EGFR signaling
CVCL_1426,Mono-Mac-6,Olaparib,3.153498,leukemia,acute_myeloid_leukaemia,Genome integrity
CVCL_1117,CAS-1,Nutlin-3a (-),5.582661,nervous_system,glioma,p53 pathway
CVCL_2207,SU-DHL-8,BDP-00009066,1.808614,lymphoma,B_cell_lymphoma,Cytoskeleton
CVCL_0202,Caov-4,Irinotecan,0.765783,urogenital_system,ovary,DNA replication
CVCL_3728,JSC-1,Lapatinib,2.783061,lymphoma,B_cell_lymphoma,EGFR signaling
CVCL_1711,SR,AZ6102,1.502756,lymphoma,lymphoid_neoplasm other,WNT signaling
CVCL_1295,HTC-C3,BIBR-1532,5.082979,thyroid,thyroid,Genome integrity
CVCL_1524,NCI-H2087,Rapamycin,-0.8043020000000001,lung_NSCLC,lung_NSCLC_adenocarcinoma,PI3K/MTOR signaling
CVCL_1715,SW1088,Savolitinib,3.011939,nervous_system,glioma,RTK signaling
CVCL_5880,KTCTL-195,JAK1_8709,4.787025,kidney,kidney,"Other, kinases"
CVCL_1843,OACP4 C,Dactolisib,-2.1818,aero_dig_tract,oesophagus,PI3K/MTOR signaling
CVCL_0761,Hs 445,Foretinib,1.5139129999999998,lymphoma,Hodgkin_lymphoma,RTK signaling
CVCL_1456,NCI-H1155,Erlotinib,1.117705,lung_NSCLC,lung_NSCLC_large cell,EGFR signaling
CVCL_1654,RERF-LC-KJ,Pictilisib,1.258373,lung_NSCLC,lung_NSCLC_adenocarcinoma,PI3K/MTOR signaling
CVCL_0134,A2780,Mitoxantrone,-3.240278,urogenital_system,ovary,DNA replication
CVCL_1619,OCI-AML-2,Staurosporine,-5.835923,leukemia,acute_myeloid_leukaemia,RTK signaling
CVCL_1380,Loucy,ERK_2440,2.188241,leukemia,lymphoblastic_T_cell_leukaemia,ERK MAPK signaling
